# Time step:   0
# t =   5.000000
     0.00000000     0.00000000
     0.02000000     0.47586454
     0.04000000     0.94422442
     0.06000000     1.39769331
     0.08000000     1.82911975
     0.10000000     2.23169987
     0.12000000     2.59908475
     0.14000000     2.92548052
     0.16000000     3.20573970
     0.18000000     3.43544246
     0.20000000     3.61096624
     0.22000000     3.72954292
     0.24000000     3.78930249
     0.26000000     3.78930249
     0.28000000     3.72954292
     0.30000000     3.61096624
     0.32000000     3.43544246
     0.34000000     3.20573970
     0.36000000     2.92548052
     0.38000000     2.59908475
     0.40000000     2.23169987
     0.42000000     1.82911975
     0.44000000     1.39769331
     0.46000000     0.94422442
     0.48000000     0.47586454
     0.50000000     0.00000000
     0.52000000    -0.47586454
     0.54000000    -0.94422442
     0.56000000    -1.39769331
     0.58000000    -1.82911975
     0.60000000    -2.23169987
     0.62000000    -2.59908475
     0.64000000    -2.92548052
     0.66000000    -3.20573970
     0.68000000    -3.43544246
     0.70000000    -3.61096624
     0.72000000    -3.72954292
     0.74000000    -3.78930249
     0.76000000    -3.78930249
     0.78000000    -3.72954292
     0.80000000    -3.61096624
     0.82000000    -3.43544246
     0.84000000    -3.20573970
     0.86000000    -2.92548052
     0.88000000    -2.59908475
     0.90000000    -2.23169987
     0.92000000    -1.82911975
     0.94000000    -1.39769331
     0.96000000    -0.94422442
     0.98000000    -0.47586454
     1.00000000     0.00000000
