 # Frame           18  - Time t =    1.8000000000000000     
 # x u(x,t)
       0.000000       0.000000
       0.020000      -0.035340
       0.040000      -0.070541
       0.060000      -0.105463
       0.080000      -0.139969
       0.100000      -0.173923
       0.120000      -0.207190
       0.140000      -0.239639
       0.160000      -0.271143
       0.180000      -0.301577
       0.200000      -0.330821
       0.220000      -0.358758
       0.240000      -0.385281
       0.260000      -0.410282
       0.280000      -0.433664
       0.300000      -0.455335
       0.320000      -0.475209
       0.340000      -0.493208
       0.360000      -0.509260
       0.380000      -0.523302
       0.400000      -0.535279
       0.420000      -0.545143
       0.440000      -0.552856
       0.460000      -0.558387
       0.480000      -0.561715
       0.500000      -0.562825
       0.520000      -0.561715
       0.540000      -0.558387
       0.560000      -0.552856
       0.580000      -0.545143
       0.600000      -0.535279
       0.620000      -0.523302
       0.640000      -0.509260
       0.660000      -0.493208
       0.680000      -0.475209
       0.700000      -0.455335
       0.720000      -0.433664
       0.740000      -0.410282
       0.760000      -0.385281
       0.780000      -0.358758
       0.800000      -0.330821
       0.820000      -0.301577
       0.840000      -0.271143
       0.860000      -0.239639
       0.880000      -0.207190
       0.900000      -0.173923
       0.920000      -0.139969
       0.940000      -0.105463
       0.960000      -0.070541
       0.980000      -0.035340
       1.000000       0.000000
